line	184	280	184	280	b0b0b0
	469	139	469	139	
	411	204	411	204	d0d0d0
	239	397	239	397	b0b0b0
	366	294	366	294	d0d0d0
	172		172		
	242	180	242	180	b0b0b0
	254	477	254	477	808080
	243	164	243	164	d0d0d0
	282	399	282	399	b0b0b0
	480	152	480	152	808080
	268	136	268	136	d0d0d0
	342	475	342	475	808080
	294	257	294	257	d0d0d0
	322	343	322	343	
	395	263	395	263	
	459	128	459	128	b0b0b0
	443	394	443	394	
	185	264	185	264	d0d0d0
	497	61	497	61	
	168	193	168	193	808080
	227	134	227	134	b0b0b0
	228	137	228	137	d0d0d0
	199	414	199	414	
	229	51	229	51	808080
	355	4	355	4	
	377	427	377	427	d0d0d0
	328	50	328	50	b0b0b0
	206	288	206	288	
	324	284	324	284	d0d0d0
	319	400	319	400	b0b0b0
	502	329	502	329	d0d0d0
	390	292	390	292	808080
	369	64	369	64	d0d0d0
	457	41	457	41	808080
	593	461	593	461	d0d0d0
	339	163	339	163	b0b0b0
	476	110	476	110	808080
	472	52	472	52	b0b0b0
	223	368	223	368	d0d0d0
	342	249	342	249	
	377	460	377	460	
	293	419	293	419	
	220	217	220	217	b0b0b0
	446	177	446	177	
	551	447	551	447	
	571	412	571	412	808080
	207	413	207	413	
	453	289	453	289	b0b0b0
	255	111	255	111	
	259	10	259	10	
	523	156	523	156	d0d0d0
	409	211	409	211	808080
	436	218	436	218	b0b0b0
	492	401	492	401	808080
	326	339	326	339	
	598	287	598	287	
	360	334	360	334	b0b0b0
	229	129	229	129	808080
	430	161	430	161	
	580	140	580	140	d0d0d0
	489	262	489	262	
	594	377	594	377	b0b0b0
	464	29	464	29	808080
	174	123	174	123	
	575	52	575	52	
	560	175	560	175	
	288	106	288	106	d0d0d0
	369	331	369	331	
	596	464	596	464	808080
	281	223	281	223	d0d0d0
	500	323	500	323	808080
		155		155	d0d0d0
	296	102	296	102	b0b0b0
	171	29	171	29	d0d0d0
	471	358	471	358	b0b0b0
	135	182	135	182	808080
	143	214	143	214	d0d0d0
	395	298	395	298	b0b0b0
	316	140	316	140	808080
	507	270	507	270	b0b0b0
	365	366	365	366	d0d0d0
	394	55	394	55	808080
	371	312	371	312	b0b0b0
	231	49	231	49	808080
	464	361	464	361	d0d0d0
	332	3	332	3	808080
	268	321	268	321	b0b0b0
	546	343	546	343	808080
	185	245	185	245	d0d0d0
	132	126	132	126	
	351	331	351	331	808080
	539	295	539	295	b0b0b0
	477	303	477	303	808080
	450	175	450	175	b0b0b0
	238	265	238	265	d0d0d0
	498	253	498	253	808080
	593	97	593	97	d0d0d0
